type, cue, valid, ICS, stimulus side, stimulus x, stimulus y, response, reaction time
2,-1,1,1.00,-1,1292,73,1,0.19029
1,1,1,1.00,1,1292,-220,1,0.21500
1,-1,1,0.50,-1,969,220,1,0.24399
1,-1,1,0.50,-1,1131,220,1,0.44033
2,-1,1,0.50,-1,969,-220,1,0.29466
2,1,1,0.50,1,1131,220,1,0.22753
1,1,1,1.00,1,1131,-73,1,0.22850
2,-1,1,0.50,-1,1292,73,1,0.20224
2,1,-1,1.00,-1,1131,0,1,0.28394
2,1,1,1.00,1,1131,-73,1,0.35842
2,-1,1,0.50,-1,969,220,1,0.25968
1,-1,-1,1.00,1,969,-220,1,0.45221
2,1,1,0.50,1,969,220,1,0.22569
2,-1,1,0.50,-1,1131,220,1,0.23903
2,1,-1,1.00,-1,1131,220,1,0.19307
1,-1,1,0.50,-1,1131,-220,1,0.22136
1,-1,-1,0.50,1,969,-220,1,0.23520
1,-1,1,1.00,-1,969,-220,1,0.17105
2,1,-1,0.50,-1,969,-220,1,0.26496
1,-1,1,1.00,-1,969,220,1,0.19279
2,1,1,1.00,1,969,-220,1,0.20381
2,1,1,1.00,1,969,220,1,0.25100
1,1,1,1.00,1,969,-220,1,0.29190
1,1,-1,0.50,-1,969,-220,1,0.26484
1,1,1,0.50,1,1131,73,1,0.22203
2,-1,-1,0.50,1,969,-220,1,0.30780
1,1,1,1.00,1,1131,-220,1,0.20438
1,1,1,0.50,1,969,220,1,0.24120
1,-1,1,1.00,-1,969,73,1,0.16278
1,-1,1,0.50,-1,1292,-220,1,0.19066
2,1,1,1.00,1,1292,220,1,0.27183
1,1,1,1.00,1,1131,220,1,0.21660
2,-1,1,1.00,-1,969,73,1,0.27413
1,1,1,1.00,1,1292,220,1,0.22111
2,1,-1,1.00,-1,969,-220,1,0.19714
1,1,-1,1.00,-1,1131,220,1,0.18978
2,-1,1,0.50,-1,969,-73,1,0.29197
2,1,1,1.00,1,1131,-220,1,0.22134
2,1,1,0.50,1,1131,-220,1,0.36298
1,1,1,0.50,1,1292,220,1,0.24027
2,1,1,0.50,1,1131,73,1,0.42899
1,-1,-1,1.00,1,1131,220,1,0.26302
2,-1,1,1.00,-1,1292,220,1,0.18334
2,-1,1,1.00,-1,969,220,1,0.23476
1,1,1,0.50,1,1131,-73,1,0.15060
2,-1,1,0.50,-1,1292,-220,1,0.19631
2,1,1,0.50,1,969,-220,1,0.23284
2,-1,1,1.00,-1,1131,73,1,0.18669
2,-1,1,1.00,-1,1131,-73,1,0.18893
1,1,1,0.50,1,1131,-220,1,0.16862
2,1,-1,0.50,-1,1131,0,1,0.19111
1,-1,1,1.00,-1,1292,-73,1,0.14364
1,1,1,1.00,1,969,73,1,0.17562
1,1,-1,0.50,-1,1131,220,1,0.23701
1,1,1,0.50,1,969,-220,1,0.21848
1,-1,1,1.00,-1,1131,-220,1,0.16291
2,1,1,0.50,1,1292,-220,1,0.29649
2,-1,1,0.50,-1,1131,73,1,0.33388
1,1,1,1.00,1,969,-73,1,0.17523
1,-1,1,0.50,-1,969,73,1,0.18799
1,1,-1,0.50,-1,1131,0,1,0.24187
1,-1,1,1.00,-1,1131,73,1,0.21830
2,1,1,1.00,1,1292,-73,1,0.17952
1,-1,1,1.00,-1,1292,220,1,0.18227
2,-1,1,1.00,-1,969,-220,1,0.22909
1,-1,-1,0.50,1,1131,0,1,0.24224
2,1,1,0.50,1,1292,-73,1,0.35195
2,-1,-1,1.00,1,1131,0,1,0.40301
1,-1,1,0.50,-1,969,-73,1,0.22236
2,-1,1,1.00,-1,1131,-220,1,0.19250
1,1,1,0.50,1,1292,-220,1,0.21332
1,-1,1,0.50,-1,969,-220,1,0.17851
2,1,1,0.50,1,969,73,1,0.21800
1,-1,1,1.00,-1,969,-73,1,0.16104
1,1,-1,1.00,-1,1131,0,1,0.36904
2,-1,1,1.00,-1,1131,220,1,0.23569
2,-1,1,0.50,-1,969,73,1,0.29688
1,1,1,1.00,1,1131,73,1,0.23370
1,-1,1,0.50,-1,1292,220,1,0.19878
1,1,1,1.00,1,969,220,1,0.20023
1,1,1,0.50,1,969,73,1,0.17245
2,1,1,0.50,1,969,-73,1,0.21804
1,1,1,1.00,1,1292,-73,1,0.15476
2,1,-1,0.50,-1,1131,220,1,0.28762
1,-1,1,1.00,-1,1292,73,1,0.16145
2,-1,-1,0.50,1,1131,0,1,0.25647
2,1,1,1.00,1,969,-73,1,0.31183
2,-1,1,1.00,-1,1292,-220,1,0.29004
2,-1,1,1.00,-1,1292,-73,1,0.16429
1,1,1,0.50,1,1131,220,1,0.16718
2,1,1,1.00,1,1131,220,1,0.24115
2,-1,-1,0.50,1,1131,220,1,0.35076
2,-1,-1,1.00,1,969,-220,1,0.29706
1,-1,1,1.00,-1,1131,-73,1,0.13697
2,1,1,1.00,1,1292,-220,1,0.21872
1,1,1,0.50,1,1292,73,1,0.21544
2,-1,1,0.50,-1,1131,-220,1,0.22990
1,-1,1,1.00,-1,1131,220,1,0.16612
2,-1,-1,1.00,1,1131,220,1,0.26392
2,1,1,1.00,1,1131,73,1,0.21924
1,-1,1,0.50,-1,1131,73,1,0.20642
2,-1,1,0.50,-1,1131,-73,1,0.28431
2,-1,1,0.50,-1,1292,-73,1,0.21807
1,-1,-1,1.00,1,1131,0,1,0.32275
2,-1,1,1.00,-1,969,-73,1,0.29114
1,1,1,0.50,1,969,-73,1,0.17604
1,-1,1,0.50,-1,1292,-73,1,0.18111
2,1,1,1.00,1,1292,73,1,0.15785
2,1,1,1.00,1,969,73,1,0.31937
2,1,1,0.50,1,1292,73,1,0.26197
1,-1,1,0.50,-1,1131,-73,1,0.16282
1,1,1,0.50,1,1292,-73,1,0.15978
2,1,1,0.50,1,1292,220,0,0.00000
2,1,1,0.50,1,1131,-73,1,0.27547
1,-1,1,0.50,-1,1292,73,1,0.20054
1,-1,1,1.00,-1,1292,-220,1,0.18538
1,1,1,1.00,1,1292,73,1,0.29755
1,-1,-1,0.50,1,1131,220,0,0.00000
1,1,-1,1.00,-1,969,-220,1,0.00003
2,-1,1,0.50,-1,1292,220,1,0.24513
